Turbidez ,Costos
57,538012
58,486352
59,689608
60,719349
61,989541
64,817642
65,998253
66,949688
66,884671
66,1094632
67,1192756
68,894820
69,911152
72,1131088
72,1271503
73,1025240
75,995312
75,1055157
76,1172830
77,1465012
77,1280500
77,1243500
79,1238796
79,1368279
80,1237066
80,1432884
83,1381595
84,1337920
85,1584732
85,1583536
85,1675949
86,1114968
88,1435980
89,1548288
89,1749982
89,1526206
90,1644812
90,1649500
92,1847042
92,1454373
93,1641261
94,1510153
94,1806260
94,1419976
95,1808305
95,1546168
96,1726367
96,1624714
96,1771120
97,1985460
98,1704336
99,1561184
99,2154383
100,1595163
102,2065488
103,1414878
103,1945504
104,1671307
104,1741986
105,1957723
105,1838703
106,1837896
107,1753101
107,1940864
107,1940864
107,1620644
107,1991322
108,1873184
109,1845084
109,1711849
110,1997616
110,1698698
110,2053683
110,1963589
110,1812377
111,2118153
111,1858332
113,1889055
114,1804272
115,2074143
115,1999640
115,2123592
116,2113114
117,1656608
119,1913504
120,1990080
120,2245804
120,2097026
124,1867617
125,1953474
126,2143721
126,2081046
127,2032258
127,2297546
128,2052821
128,1955963
128,1913712
131,2128205
132,2227564
132,2013638
135,2197820
136,2246516
138,2019899
139,2154516
139,2244916
140,2017876
140,2482352
140,2125920
141,2009032
143,2157064
143,2336937
144,2227880
147,2038913
150,2169421
153,1955040
155,2065602
156,2390834
156,1967892
158,2107639
160,2070423
160,2184646
163,1953375
163,2224912
165,2121571
165,1992296
170,2176828
170,2332267
173,2144716
176,2254631
177,2234000
180,2427146
181,2362634
182,2269777
184,2417830
184,2376253
186,2389576
186,2493522
187,2375770
187,2523900
191,2257195
192,2440084
195,2411118
195,2277827
195,2381181
197,2395104
202,2278568
204,2380050
208,2264092
210,2415412
211,2453218
212,2101746
213,2001508
216,2329298
223,2451140
236,2209482
242,2631038
244,2420069
246,2621527
247,2654678
248,2258398
255,2487712
255,2503495
256,2606590
257,2446826
260,2357381
261,2590552
261,2518511
267,2608464
267,2608464
269,2549286
270,2448725
281,2607280
282,2369577
286,2537459
292,2483533
296,2691029
310,2703207
316,2678292
318,2412126
326,2657579
332,2706084
335,2705918
341,2429184
357,2368202
358,2570870
362,2488172
373,2459403
383,2664721
386,2586976
392,2252756
393,2384372
411,2599974
424,2519336
425,2684052
440,2204922
457,2512538
457,2633629
460,2721788
474,2766264
531,2851736
535,2895220
555,2993672
558,2934578
565,2942747
580,3005457
797,3178370
822,3288466
